Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Phantom,Black,Rear-wheel Drive,24–31,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WZ1DB4C07LW024619,H6432A,"13,660 mi.",2020 Toyota Supra 3.0,47997.0,$,https://www.cars.com/vehicledetail/6a36ac88-bf00-4962-8901-eb89711e5b5a/
Patriot Blue Pearlcoat,Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,3C6UR5FJ9RG144070,C444070,10 mi.,2024 RAM 2500 Laramie,78624.0,$,https://www.cars.com/vehicledetail/e0474833-510a-4ffe-970b-eb6feeda69e8/
Venetian Red Pearl,Ivory,All-wheel Drive,23–31,Gasoline,5-Speed Manual,2.0L H4 16V MPFI DOHC,JF2GPACC3F9223290,72148768,"63,134 mi.",2015 Subaru XV Crosstrek 2.0i Premium,15795.0,$,https://www.cars.com/vehicledetail/926a5834-5e4c-4bb9-96e3-ba549599603b/
Forged Green Metallic,Black Onyx,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJU1RG2PEA62975,23343,15 mi.,2023 Ford Expedition Timberline,83860.0,$,https://www.cars.com/vehicledetail/1366c86f-5c71-48e0-85dc-bb27d3ab4c0b/
Emerald Lake Metallic,Sky Cool Gray with Santorini Blue accents,RWD,0–0,Electric Fuel System,Automatic,Electric,1GYKPPRL5RZ106067,480126,0 mi.,2024 Cadillac LYRIQ Luxury,67805.0,$,https://www.cars.com/vehicledetail/0be55dfe-9bba-4f03-95bd-12b2f5f5a44a/
Crystal White Pearl Metallic w/ BMW i Frozen Blue Accent,Giga Ivory White,All-wheel Drive,80–72,Gasoline,Automatic,"1.5L I-3 gasoline direct injection, DOHC, VANOS variable valve c",WBY2Z2C50EVX64408,W-23054619,"66,000 mi.",2014 BMW i8 Base,52499.0,$,https://www.cars.com/vehicledetail/6814d1dc-f6b1-4c52-8186-7ca73af42a74/
Infinite Black Metallic,Medium Slate,Four-wheel Drive,16–21,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ2LTXKEL06849,35246AZA,"77,289 mi.",2019 Lincoln Navigator Reserve,45933.0,$,https://www.cars.com/vehicledetail/02969998-ad89-47fe-9d6c-32f3ea8d550b/
Onyx Black,Jet Black,Four-wheel Drive,15–20,Gasoline,10-Speed Automatic with Overdrive,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GKS2AKD5NR328014,X0054A,"24,330 mi.",2022 GMC Yukon SLE,55500.0,$,https://www.cars.com/vehicledetail/69658a4b-900e-41c4-8b0c-dc1bbffbe709/
Gray,Slate Gray,All-wheel Drive,–,Gasoline,8-Speed Automatic with Tiptronic,4.0L V8 32V GDI DOHC Twin Turbo,WP1BF2AY0NDA58308,ML230714B,"12,671 mi.",2022 Porsche Cayenne Turbo Coupe AWD,123881.0,$,https://www.cars.com/vehicledetail/93bf6777-88a4-4537-a6c2-fa8cb6d42718/
Cayenne Red Tintcoat,Jet Black,Four-wheel Drive,16–20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2BKD0MR249726,2348S,"78,890 mi.",2021 GMC Yukon SLT,54497.0,$,https://www.cars.com/vehicledetail/41146ea3-0a87-4202-8dc9-62f29c661e45/
Obsidian Black Metallic,Black,All-wheel Drive,,,1-Speed Automatic,Electric,5YJSA1E41GF128394,128394F,"64,112 mi.",2016 Tesla Model S 90D,36998.0,$,https://www.cars.com/vehicledetail/ffcbb017-849e-4741-afb0-883970b591aa/
Pyrite Silver Metallic,Black,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV8B7AX3PM130610,902439,6 mi.,2023 Volkswagen Tiguan 2.0T SE R-Line Black,35098.0,$,https://www.cars.com/vehicledetail/939a8660-c227-4aa4-8b14-2db90e5ca1bb/
Shadow Black,Charcoal Black,All-wheel Drive,19–25,Gasoline,6-Speed Manual,2.3L I4 16V GDI DOHC Turbo,WF0DP3THXG4114345,HB24090,"59,722 mi.",2016 Ford Focus RS Base,30897.0,$,https://www.cars.com/vehicledetail/aa4bf9fa-2119-4fb5-9913-48ce618b9eea/
Summit White,Jet Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1GC4YREY7RF132745,132745,5 mi.,2024 Chevrolet Silverado 2500 High Country,86515.0,$,https://www.cars.com/vehicledetail/87f71632-1dac-43f7-9b14-5d14cb3c9539/
Pure White,Dark Beige,Front-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2JE2CA7PC213718,PC213718,"9,681 mi.",2023 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,44338.0,$,https://www.cars.com/vehicledetail/aa32b37a-8524-4703-ba80-68885a1b3071/
White,–,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ3LG2PEL14864,352880,9 mi.,2023 Lincoln Navigator L Reserve,108390.0,$,https://www.cars.com/vehicledetail/0cb748cf-5676-43e2-b2a1-b4da578c5c4b/
Deep Blue Metallic,Black,All-wheel Drive,,,1-Speed Automatic,Electric,5YJYGDEF4MF134553,8796,"28,451 mi.",2021 Tesla Model Y Performance,48989.0,$,https://www.cars.com/vehicledetail/d89b14f9-57ed-42a4-a062-0482bb4b4e27/
Moonlight White,Brown,All-wheel Drive,13–21,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,W1KVK8AB5PF013063,PF013063,17 mi.,2023 Mercedes-Benz AMG SL 55 Base,162735.0,$,https://www.cars.com/vehicledetail/0f398d78-fbcb-4c3f-9879-5aa1402bc386/
Carbonized Gray Metallic,Ebony,Four-wheel Drive,18–24,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1FM5K8GC9PGA71421,PGA71421,3 mi.,2023 Ford Explorer ST,61998.0,$,https://www.cars.com/vehicledetail/f3864b6b-21eb-4f19-a271-0fbb470a760c/
Iconic Silver Metallic,Medium Sandstone,Four-wheel Drive,20–21,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE5BP7PLA88922,PLA88922P,711 mi.,2023 Ford Bronco Big Bend,46898.0,$,https://www.cars.com/vehicledetail/a0bdde3d-d246-44da-92ce-dd7a7a0b87ed/
Hydro Blue Pearlcoat,Black,Four-wheel Drive,16–23,Gasoline,6-Speed Manual,3.6L V6 24V MPFI DOHC,1C6JJTEGXNL137405,J1473,17 mi.,2022 Jeep Gladiator Mojave,49990.0,$,https://www.cars.com/vehicledetail/44135a07-8cf6-453f-9df3-f55b199967d5/
Pearl,Acorn,Front-wheel Drive,43–44,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,58AFA1C10RU040882,L24252,6 mi.,2024 Lexus ES 300h Ultra Luxury,56205.0,$,https://www.cars.com/vehicledetail/b1bda9c4-f8b0-4f3a-90b1-4659a1fc49fc/
Shadow Black,Ebony,Four-wheel Drive,15–19,Gasoline,Automatic,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",1FMJK1JT9HEA69664,HFP1168,"97,414 mi.",2017 Ford Expedition EL XLT,22595.0,$,https://www.cars.com/vehicledetail/93cbe00c-ff4d-4ebe-b916-e5ccb63437d8/
Blue,Gray,Four-wheel Drive,14–19,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FTFW1ET3DFA97277,X9603,"61,178 mi.",2013 Ford F-150 XLT,25988.0,$,https://www.cars.com/vehicledetail/9f606048-6133-4395-8c63-5ca64454e55b/
White Tri-Coat,Sandstone,All-wheel Drive,–,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,5LMTJ5DZ5NUL28619,LN240,5 mi.,2022 Lincoln Corsair Grand Touring,56000.0,$,https://www.cars.com/vehicledetail/dac68143-5f9f-4861-a61f-d003103cadf1/
Black,Jet Black,Four-wheel Drive,15–21,Gasoline,Automatic,5.3L V8 16V GDI OHV,1GNSKCKC2LR304630,CP1204,"8,019 mi.",2020 Chevrolet Tahoe Premier,59388.0,$,https://www.cars.com/vehicledetail/a8685407-68bb-415b-98b9-345b0269cc34/
Pearl White,Charcoal,Four-wheel Drive,13–18,Gasoline,Automatic,"Endurance 5.6L V-8 gasoline direct injection, VVEL DOHC, variabl",JN8AY2NE6H9705331,W230086A,"105,183 mi.",2017 Nissan Armada Platinum,21900.0,$,https://www.cars.com/vehicledetail/40d6a5c4-b82c-42c0-aaf5-1ae42135f921/
Antimatter Blue Metallic,–,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTFW1E89MKE86959,8592A,"15,104 mi.",2021 Ford F-150 Lariat,53639.0,$,https://www.cars.com/vehicledetail/81c30033-71ea-4896-9eb6-ce9fbd3d432e/
White Knuckle Clearcoat,Black,Four-wheel Drive,21–24,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXENXPW506374,12990,"17,663 mi.",2023 Jeep Wrangler Sahara,42600.0,$,https://www.cars.com/vehicledetail/cd970ffb-a424-45e7-a3da-b3375e33ad95/
Mars Red,Macchiato,Rear-wheel Drive,20–27,Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,WDDJK6FA0FF031200,T031200,"35,459 mi.",2015 Mercedes-Benz SL-Class SL 400,37446.0,$,https://www.cars.com/vehicledetail/0f727fa6-93d1-4102-95e9-7b3c2978cd6c/
Magnetic Gray Metallic,Boulder,Rear-wheel Drive,18–23,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFLA5AB0PX027997,231313,2 mi.,2023 Toyota Tundra SR5,50832.0,$,https://www.cars.com/vehicledetail/c9f44109-526c-446f-a746-38bb6905bc9e/
Agate Black Metallic,Ebony,Rear-wheel Drive,21–28,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK7DH3PGA93671,A93671,"1,305 mi.",2023 Ford Explorer XLT,43853.0,$,https://www.cars.com/vehicledetail/e8ba3149-e2e6-41cf-9889-a5f5688df3b8/
Tourmaline Blue Metallic,Gray,Rear-wheel Drive,,,1-Speed Automatic,Electric,1V2FMPE8XPC004506,L230781,–,2023 Volkswagen ID.4 Pro S,47696.0,$,https://www.cars.com/vehicledetail/48480afa-1f15-46d7-b220-c6528c582986/
Eminent White Pearl,Flaxen,Rear-wheel Drive,16–24,Gasoline,8-Speed Automatic,4.6L V8 32V PDI DOHC,JTHBL5EF1H5143675,27176,"51,158 mi.",2017 Lexus LS 460 Base,35988.0,$,https://www.cars.com/vehicledetail/2d477af9-2b47-49d8-94ee-0a49e3202b65/
Bright White Clearcoat,Black,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFAG7KC794533,NP23321A,"51,785 mi.",2019 Jeep Grand Cherokee Altitude,27495.0,$,https://www.cars.com/vehicledetail/38473317-7b86-4f93-a745-6b400c2aca66/
Black,Jet Black,Four-wheel Drive,–,Gasoline,–,5.3L V8 16V GDI OHV,1GNSKEKD9PR317580,23C792,6 mi.,2023 Chevrolet Suburban RST,74325.0,$,https://www.cars.com/vehicledetail/9f78ed6b-dfe8-4c6d-b2f7-0a2432f2bae3/
Opal White Pearl Effect,Mauro Brown,All-wheel Drive,19–25,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1V2BR2CA7RC509687,4813,16 mi.,2024 Volkswagen Atlas 2.0T SEL,51619.0,$,https://www.cars.com/vehicledetail/fbe6c8a8-a3d1-4bd0-bcd6-8263cbf254f4/
Crystal White Tri-Coat,Shara Beige,All-wheel Drive,18–27,Gasoline,10-Speed Automatic,3.6L V6 24V GDI DOHC,1G6KD5RS8KU141508,OS141508,"23,292 mi.",2019 Cadillac CT6 3.6L Premium Luxury,42558.0,$,https://www.cars.com/vehicledetail/dfa7dc5e-3364-410e-bb5e-bf3bef487beb/
Red,Charcoal Black,Rear-wheel Drive,15–23,Gasoline,6-Speed Manual,5.4L V8 32V MPFI DOHC Supercharged,1ZVBP8JSXB5154866,P9338,"16,891 mi.",2011 Ford Shelby GT500 Base,40998.0,$,https://www.cars.com/vehicledetail/6edb93bc-f82d-43cd-baca-b087c9a44b10/
Serenity White Pearl,Beige,All-wheel Drive,36–31,Hybrid,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,5NMS2DA15PH013371,739442,25 mi.,2023 Hyundai Santa Fe HEV Blue,38865.0,$,https://www.cars.com/vehicledetail/df1c8b21-8b18-4df7-be1f-403eac1f8647/
Silver,Black,Four-wheel Drive,19–24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFFT2RN144515,R4051,7 mi.,2024 RAM 1500 Big Horn,58770.0,$,https://www.cars.com/vehicledetail/5b454f0e-41ac-4e35-ad8d-1d3917136101/
Carbonized Gray Metallic,Ebony,Four-wheel Drive,–,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER4KH9RLE03590,1346R4K,0 mi.,2024 Ford Ranger Lariat,51420.0,$,https://www.cars.com/vehicledetail/cb69479c-fb60-4d45-91dd-5b78ce1e57b4/
Agate Black Metallic,Medium Dark Slate,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FTRF3BTXPED13908,F801,1 mi.,2023 Ford F-350 XL,68330.0,$,https://www.cars.com/vehicledetail/945f14e6-b047-4815-881b-860faeb7a690/
Summit White,Black,Four-wheel Drive,17–24,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GTG6DEN1H1149449,PB725A,"86,204 mi.",2017 GMC Canyon SLT,24595.0,$,https://www.cars.com/vehicledetail/1eab7c8e-ba47-42a8-aa77-1c8a2fba76ed/
Black,Gray,All-wheel Drive,19–27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A221K1N1785315,L2140B,"23,526 mi.",2022 Volvo XC90 T6 Momentum 6 Passenger,47213.0,$,https://www.cars.com/vehicledetail/88c2c6cc-36f6-41fc-b3b9-5f4c0a3ec870/
Black,Jet Black,Four-wheel Drive,17–18,Diesel,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,3GCUDFE80PG358213,T23162,–,2023 Chevrolet Silverado 1500 LT Trail Boss,67020.0,$,https://www.cars.com/vehicledetail/eb0c63d2-0734-492c-9d4a-37e8d40d591a/
Cirrus Silver Metallic,AMG Black,All-wheel Drive,24–33,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1KAF4HB8PR091496,PR091496,"6,689 mi.",2023 Mercedes-Benz C-Class C 300 4MATIC,56610.0,$,https://www.cars.com/vehicledetail/2f44a25c-f4d9-4174-8a1c-0fbfe616a81f/
Aspen White,Charcoal,Front-wheel Drive,–,Gasoline,Automatic CVT,1.6L 4 Cyl. 16V DOHC,3N1CP5CV7RL474382,N40046,8 mi.,2024 Nissan Kicks SV,24835.0,$,https://www.cars.com/vehicledetail/45a1db02-3202-40f2-ae64-569763652d0b/
Barcelona Red,Black / Red,Four-wheel Drive,18–22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TYCZ5AN6PT148286,PT148286,–,2023 Toyota Tacoma SR5,37584.0,$,https://www.cars.com/vehicledetail/23af039a-d587-4741-915d-088fa674ca89/
Billet Silver Metallic Clearcoat,Mountain Brown,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C63R3NL3PG557375,PG557375,5 mi.,2023 RAM 3500 Longhorn,88100.0,$,https://www.cars.com/vehicledetail/ac9c9929-72a9-4afb-acba-531dd3d57e4c/
Red,Black,Rear-wheel Drive,17–23,Gasoline,7-Speed Automatic with Auto-Shift,4.0L H6 24V GDI DOHC,WP0AC2A87MK289108,MK289108,"9,177 mi.",2021 Porsche 718 Cayman GT4,129995.0,$,https://www.cars.com/vehicledetail/4ec43213-9c8a-4b38-9237-9d138ad8f520/
Alpine Gray,Bahia Brown,All-wheel Drive,20–27,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4FB4RB064060,24091,8 mi.,2024 Mercedes-Benz GLE 350 Base 4MATIC,76800.0,$,https://www.cars.com/vehicledetail/5ae76c66-6c1b-416c-8157-861673399435/
Red Metallic,Light Sandstone,Four-wheel Drive,23–26,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1FM5K8HC8NGC43806,220732,10 mi.,2022 Ford Explorer Platinum,53999.0,$,https://www.cars.com/vehicledetail/8164c002-ef17-4037-97ed-88ce9aa2b393/
Diamond Black,Global Black,Four-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYB61PC580047,J37477,60 mi.,2023 Jeep Grand Cherokee 4xe Base,63322.0,$,https://www.cars.com/vehicledetail/e604dc6c-49b2-4891-8ec7-8a6b48ec8b38/
Iconic Silver Metallic,Navy Pier,Four-wheel Drive,25–0,Gasoline,Automatic,"EcoBoost 1.5L I-3 port/direct injection, DOHC, Ti-VCT variable v",3FMCR9C65PRE36310,PRE36310STK,0 mi.,2023 Ford Bronco Sport Outer Banks,39815.0,$,https://www.cars.com/vehicledetail/9968098f-e5dc-4804-8443-278a3f943eca/
Ice Silver Metallic,Black,All-wheel Drive,17–23,Gasoline,6-Speed Manual,2.5L H4 16V MPFI DOHC Turbo,JF1GV8J63DL034655,C1813A,"38,660 mi.",2013 Subaru Impreza WRX STI,39988.0,$,https://www.cars.com/vehicledetail/ef7e200b-c517-4c71-bdcf-65c91b1ed173/
–,–,All-wheel Drive,17–21,Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,",WA1FVBF17LD008899,GPM0250,"19,447 mi.",2020 Audi Q8 55 Prestige,62995.0,$,https://www.cars.com/vehicledetail/4ccaf4ba-0fcf-4fdb-a31f-4c1021ad2e9d/
Black,Black,Rear-wheel Drive,13–21,Gasoline,8-Speed Automatic,6.0L V12 48V MPFI DOHC,SCFLMCFU1GGJ02827,HMS19,"6,002 mi.",2016 Aston Martin Vanquish ,144500.0,$,https://www.cars.com/vehicledetail/1a5ab1f2-ec18-40b2-b61f-1ee84a099169/
Iridium,Rioja Red,Rear-wheel Drive,17–25,Gasoline,8-Speed Automatic,5.0L V8 32V PDI DOHC,JTHAP1D23P5003116,3M3215A,"8,796 mi.",2023 Lexus IS 500 F SPORT Performance,58913.0,$,https://www.cars.com/vehicledetail/a70ee3c6-369e-4735-a9ac-7a13644319af/
Runway Red,Charcoal,Front-wheel Drive,53–54,Hybrid,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Hybrid,KNDCR3LE7P5051424,P5051424,"14,441 mi.",2023 Kia Niro EX,29854.0,$,https://www.cars.com/vehicledetail/f4b69934-44cb-49da-af29-c8fbec6eb72e/
White,–,All-wheel Drive,21–30,Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,",WAUB4CF55KA095909,KA095909,"39,158 mi.",2019 Audi S5 3.0T Premium Plus,36000.0,$,https://www.cars.com/vehicledetail/8a92c8d4-4dbd-4cc1-b444-8ba6df24a26b/
Jet Black Mica,Black,AWD,24–28,Gasoline,8-Speed Automatic,3.3L I6 24V GDI DOHC Turbo,JM3KKCHDXR1130636,Q1130636,1 mi.,2024 Mazda CX-90 3.3 Turbo Preferred Plus,47275.0,$,https://www.cars.com/vehicledetail/0ebee6e5-df53-4dee-aa11-cacdd7ad6ef0/
White Frost Tri-Coat,Jet Black,Four-wheel Drive,16–20,Diesel,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,3GTUUGE81PG340860,29898,10 mi.,2023 GMC Sierra 1500 Denali,72565.0,$,https://www.cars.com/vehicledetail/1b7ff8a2-dec1-4af9-bda4-b8daf65e87a9/
Red,Black / Graphite,Four-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEKU5JR0N6013998,MU18271,"12,102 mi.",2022 Toyota 4Runner Limited 4WD,47400.0,$,https://www.cars.com/vehicledetail/29edefaf-474e-4150-a58c-b461b3dba37d/
Mythos Black Metallic,Black,All-wheel Drive,15–23,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WAULSAF8XPN001547,PN001547,"16,599 mi.",2023 Audi S8 4.0T quattro,94620.0,$,https://www.cars.com/vehicledetail/df61409c-04d6-4d1c-bed5-59cd44f36f00/
Plasma Blue Pearl,Black,All-wheel Drive,17–23,Gasoline,6-Speed Manual,2.5L H4 16V MPFI DOHC Turbo,JF1GV8J69BL510369,SP9811278A,"124,804 mi.",2011 Subaru Impreza WRX STi Base,14721.0,$,https://www.cars.com/vehicledetail/ec543933-6dc8-448d-8b41-0d2aba6ab4f1/
Oxford Green Metallic,Carbon Black,All-wheel Drive,25–31,Gasoline,6-Speed Manual,1.6L I4 16V GDI DOHC Turbo,WMWZC5C56CWM12215,M12215,"75,552 mi.",2012 MINI Cooper S Countryman Base,10995.0,$,https://www.cars.com/vehicledetail/6bd4b6c0-cd02-496f-acb2-ac5120ddf2b9/
Magnetic Gray,Black,All-wheel Drive,40–36,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTMAB3FV8PD140495,P54042A,"1,201 mi.",2023 Toyota RAV4 Prime SE,48500.0,$,https://www.cars.com/vehicledetail/5cc07388-059a-48fd-84f2-52b8a2736242/
Super Black,Sport,Front-wheel Drive,28–37,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,",3N1AB8DV7PY317635,PY317635,4 mi.,2023 Nissan Sentra SR,26730.0,$,https://www.cars.com/vehicledetail/2523d2d7-329c-4a50-afd2-fcbafa42379c/
Sterling Gray Metallic,Jet Black,Four-wheel Drive,0–0,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, regu",2GC4YNE79R1143883,C24024T,9 mi.,2024 Chevrolet Silverado 2500 LT,63175.0,$,https://www.cars.com/vehicledetail/5da700db-be5f-428a-8aa2-13e81105f466/
Black,Black,All-wheel Drive,,,1-Speed Automatic,Electric,5YJXCDE40LF228725,15439,"12,101 mi.",2020 Tesla Model X Performance,69995.0,$,https://www.cars.com/vehicledetail/6c800ad5-820d-4674-aa53-d97fae87efb3/
Lunar White,Gray,Front-wheel Drive,,,1-Speed Automatic,Electric,KM8K53AG9NU157612,C2200P,"23,806 mi.",2022 Hyundai Kona EV Limited,29990.0,$,https://www.cars.com/vehicledetail/17e7355b-197f-4901-8823-040bb77d3535/
Varesine Blue Metallic,Eby/Windsor,Four-wheel Drive,0–0,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-6 3.0 L/183,SALYM2FU4RA369893,L24004,100 mi.,2024 Land Rover Range Rover Velar P400 Dynamic HSE,86188.0,$,https://www.cars.com/vehicledetail/423cc1fc-e9b0-4333-81e1-12d30590ad42/
Oxford White,Black Onyx,Four-wheel Drive,20–21,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE5BP8PLB86437,F1029,29 mi.,2023 Ford Bronco Outer Banks,62875.0,$,https://www.cars.com/vehicledetail/c065a57d-fbf6-4b41-b59e-dc88bfb58121/
Magnetic Gray Metallic,Black,Four-wheel Drive,17–23,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFLA5DB4PX123787,A3472,–,2023 Toyota Tundra SR5,51739.0,$,https://www.cars.com/vehicledetail/07c5fbd5-6d36-4700-b004-d2d6f4db9f7a/
White,Off Black,Front-wheel Drive,19–28,Gasoline,5-Speed Automatic,2.5L I5 20V MPFI DOHC Turbo,YV1MK672982065428,82065428A,"106,984 mi.",2008 Volvo C30 VERSION 1.0,7199.0,$,https://www.cars.com/vehicledetail/6813e0a6-49ab-4c90-b1a5-08710c4b3136/
Snow White Pearl,–,All-wheel Drive,25–27,Gasoline,8-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,KNDETCA78R7541179,R7541179,7 mi.,2024 Kia Seltos SX,31885.0,$,https://www.cars.com/vehicledetail/68489630-0547-496f-b9e7-427d02e139d7/
Nebula Gray Pearl,Black,Four-wheel Drive,15–19,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJAM7BX3L5267147,SP19870,"41,481 mi.",2020 Lexus GX 460 Base,39299.0,$,https://www.cars.com/vehicledetail/01ee80df-9c27-4eec-bcab-4331c1a453ed/
Velvet,Cappuccino,Front-wheel Drive,17–26,Gasoline,6-Speed Automatic,3.7L V6 24V MPFI DOHC,1LN6L9SK7J5616332,PP2524B,"20,650 mi.",2018 Lincoln Continental Select,27699.0,$,https://www.cars.com/vehicledetail/6b33d604-1419-41e4-8f7b-164c37b410aa/
Onyx Black,Jet Black,Four-wheel Drive,15–20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2BKD2PR493916,PR493916,6 mi.,2023 GMC Yukon SLT,75523.0,$,https://www.cars.com/vehicledetail/b2f0b18b-a8ac-4148-b70d-590a6a09d4de/
White Pearl,–,All-wheel Drive,17–27,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,JTHG5LGF9P5011702,3252,6 mi.,2023 Lexus LS 500 Base,107375.0,$,https://www.cars.com/vehicledetail/705ffccf-2494-4416-90a4-3a652fb5e589/
Scarlet Ember,Charcoal,Four-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI DOHC,5N1DR3CC1PC243741,T23091,7 mi.,2023 Nissan Pathfinder SL,44236.0,$,https://www.cars.com/vehicledetail/238b7da2-d0fd-4486-89ab-9752d53d0626/
Bright Silver Metallic,Charcoal,All-wheel Drive,18–26,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A221K9L1607939,VP3529,"44,048 mi.",2020 Volvo XC90 T6 Momentum 6 Passenger,37438.0,$,https://www.cars.com/vehicledetail/e0cbaa5b-612b-4e4a-af97-201f5a86d6fa/
Black Raven,Black,Four-wheel Drive,15–21,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4CKJ1GR334719,17132,"99,745 mi.",2016 Cadillac Escalade Premium,34988.0,$,https://www.cars.com/vehicledetail/f7aef878-3b0d-467c-a744-acde352fcbe7/
Silver,–,Four-wheel Drive,13–17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TFDW5F15KX840458,15373,"101,619 mi.",2019 Toyota Tundra SR5,33495.0,$,https://www.cars.com/vehicledetail/f34f9208-f879-4235-8bd7-872ade706a4f/
Fuji White,Ebony / Ebony,Four-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SALGS2PF3GA290231,290231,"66,486 mi.",2016 Land Rover Range Rover 3.0L Supercharged HSE,33990.0,$,https://www.cars.com/vehicledetail/3bd015bd-f96d-42e3-824f-d844ff3b2ed0/
Black Obsidian,Graphite,Rear-wheel Drive,19–28,Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,JN1EV7KK5NM600949,NM600949,0 mi.,2022 INFINITI Q60 LUXE,44655.0,$,https://www.cars.com/vehicledetail/2d4abe04-949c-4c98-870b-b835b09c57ff/
